symbol;digits;M1;M5;M15;M30;H1;H4;D1;W1;MN
EURUSD;4;30;50;90;160;280;520;950;1200;2500
EURGBP;4;30;50;90;160;280;520;950;1200;2500
EURCHF;4;30;50;90;160;280;520;950;1200;2500
EURCAD;4;30;50;90;160;280;520;950;1200;2500
EURAUD;4;30;50;90;160;280;520;950;1200;2500
EURNZD;4;30;50;90;160;280;520;950;1200;2500
GBPUSD;4;30;50;90;160;280;520;950;1200;2500
GBPCHF;4;30;50;90;160;280;520;950;1200;2500
GBPCAD;4;30;50;90;160;280;520;950;1200;2500
GBPAUD;4;30;50;90;160;280;520;950;1200;2500
GBPNZD;4;30;50;90;160;280;520;950;1200;2500
USDCHF;4;30;50;90;160;280;520;950;1200;2500
USDCAD;4;30;50;90;160;280;520;950;1200;2500
AUDUSD;4;30;50;90;160;280;520;950;1200;2500
NZDUSD;4;30;50;90;160;280;520;950;1200;2500
USDJPY;2;30;50;90;160;280;520;950;1200;2500
EURJPY;2;30;50;90;160;280;520;950;1200;2500
GBPJPY;2;30;50;90;160;280;520;950;1200;2500
W20PLN;0;15;30;50;80;140;220;500;1000;2000
USDPLN;4;70;140;300;450;800;1600;2500;5000;5000
EURPLN;4;70;140;300;450;800;1600;2500;5000;5000
GOLD;2;200;400;700;1400;3000;9000;12000;30000;30000
